state,population,dem_votes,gop_votes,total_votes,turnout
Alabama,3926252,772412,1462616,2235028,0.5692523047425382
Alaska,227923,12950,10559,23509,0.10314448300522545
Arizona,5673395,1582860,1770242,3353102,0.5910221304880059
Arkansas,2326772,396905,759241,1156146,0.49688839301831034
California,30513773,9276179,6081697,15357876,0.5033096366024614
Colorado,4569892,1728159,1377441,3105600,0.6795784232975309
Connecticut,2864350,992053,736918,1728971,0.6036172255485538
Delaware,795476,289758,214351,504109,0.633719936239434
District of Columbia,546404,36882,2056,38938,0.07126228944151214
Florida,17623515,4683038,6110125,10793163,0.6124296430082194
Georgia,8280518,2548017,2663117,5211134,0.6293246388692109
Hawaii,1144120,313044,193661,506705,0.4428774953676188
Idaho,1430129,274972,605246,880218,0.6154815404764186
Illinois,9883774,3062863,2449079,5511942,0.5576758432558252
Indiana,5215681,1163603,1720347,2883950,0.552938341129375
Iowa,2459358,707278,927019,1634297,0.66452179796516
Kansas,2232748,544853,758802,1303655,0.5838791480274531
Kentucky,3487979,704043,1337494,2041537,0.5853065629122194
Louisiana,3532362,766870,1208505,1975375,0.5592221295552381
Maine,1125518,435652,377977,813629,0.7228929257461898
Maryland,4794802,1902577,1035550,2938127,0.6127733741664411
Massachusetts,5623987,2126545,1251308,3377853,0.60061536415358
Michigan,7896802,2736533,2816636,5553169,0.7032174543568397
Minnesota,4396457,1656979,1519032,3176011,0.7224023799163736
Mississippi,2259103,466668,747744,1214412,0.5375638029784388
Missouri,4781610,1200599,1751986,2952585,0.6174876244612171
Montana,870130,231906,352079,583985,0.6711468401273373
Nebraska,1481176,369995,564816,934811,0.6311275635035944
Nevada,2448129,705197,751205,1456402,0.5949041084027843
New Hampshire,1130928,418496,395578,814074,0.7198283179831076
New Jersey,7235692,2220713,1968215,4188928,0.5789256922489238
New Mexico,1648151,478802,423391,902193,0.5473970528185828
New York,15763042,4619195,3578899,8198094,0.5200832428156951
North Carolina,8261517,2715375,2898423,5613798,0.6795117652121275
North Dakota,594569,112327,246505,358832,0.6035161604456337
Ohio,9169867,2533699,3180116,5713815,0.6231077288252926
Oklahoma,3031877,499599,1036213,1535812,0.5065548503451822
Oregon,3382420,1228410,910702,2139112,0.6324205746181728
Pennsylvania,10312707,3423042,3543308,6966350,0.6755112891309721
Rhode Island,886891,285156,214406,499562,0.5632732770994406
South Carolina,4085712,1028452,1483747,2512199,0.6148742251044615
South Dakota,679374,146859,272081,418940,0.6166559214806572
Tennessee,5428076,1056265,1966865,3023130,0.556943196815962
Texas,22157813,4835250,6393597,11228847,0.5067669358884832
Utah,2387055,562566,883818,1446384,0.6059282253655656
Vermont,528077,235791,119395,355186,0.6726026696864283
Virginia,6763514,2335395,2075085,4410480,0.6520988941547249
Washington,6065086,2245849,1530923,3776772,0.6227070811526827
West Virginia,1425051,214309,533556,747865,0.5247987615881817
Wisconsin,4617713,1668229,1697626,3365855,0.7289008649952909
Wyoming,447402,69527,192633,262160,0.5859607243597481
